asset_id,original_file_name,new_file_name,file_path,file_type,media_format,source_folder,source_drive_link,import_date,status,media_category,product_type,texture,length_visible_estimate,color_tone,density_visible_estimate,closure_or_frontal_visible,wig_visible,bundle_count_visible,install_state,visual_quality_score,lighting_quality_score,clarity_score,luxury_score,usable_for_website,usable_for_instagram,usable_for_ads,usable_for_product_page,usable_for_blog,needs_manual_review,review_notes,candidate_sku,candidate_collection,campaign_angle,caption_angle,customer_persona_fit,funnel_stage_fit,priority_rank,suggested_alt_text,suggested_title,suggested_short_description,suggested_tags,markdown_reference_path
AST-0069,IMG_2009.MOV,virgin-straight-20in-blonde-bundles-51usd-2.mov,assets/processed/virgin-straight-20in-blonde-bundles-51usd-2.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 51USD,,,,,,,5,,,,,
AST-0070,IMG_2010.HEIC,virgin-straight-20in-blonde-bundles-51usd.jpg,assets/processed/virgin-straight-20in-blonde-bundles-51usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 51USD,,,,,,,5,,,,,
AST-0071,IMG_2526.HEIC,virgin-straight-12in-5x5-blonde-bob-wig-101usd.jpg,assets/processed/virgin-straight-12in-5x5-blonde-bob-wig-101usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,virgin_straight,12,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 101USD,,,,,,,5,,,,,
AST-0072,IMG_2959.HEIC,IMG_2959.HEIC,assets/raw/IMG_2959.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0073,IMG_2960.MOV,virgin-body-wave-14in-platinum-bob-wig-128usd.mov,assets/processed/virgin-body-wave-14in-platinum-bob-wig-128usd.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,body_wave,14,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 128USD,,,,,,,5,,,,,
AST-0074,IMG_3114.HEIC,IMG_3114.HEIC,assets/raw/IMG_3114.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0075,IMG_3115.MOV,raw-bone-straight-24in-ombre-bundles-75usd-6.mov,assets/processed/raw-bone-straight-24in-ombre-bundles-75usd-6.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 75USD,,,,,,,5,,,,,
AST-0076,IMG_3212.MOV,virgin-straight-20in-platinum-curled-bundles-51usd.mov,assets/processed/virgin-straight-20in-platinum-curled-bundles-51usd.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 51USD,,,,,,,5,,,,,
AST-0077,IMG_3214.MOV,virgin-straight-20in-platinum-curled-bundles-51usd-2.mov,assets/processed/virgin-straight-20in-platinum-curled-bundles-51usd-2.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 51USD,,,,,,,5,,,,,
AST-0078,IMG_3303.HEIC,raw-body-wave-20in-5x5-wig-205usd.jpg,assets/processed/raw-body-wave-20in-5x5-wig-205usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,body_wave,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 205USD,,,,,,,5,,,,,
AST-0079,IMG_3305.MOV,raw-body-wave-20in-5x5-wig-205usd-2.mov,assets/processed/raw-body-wave-20in-5x5-wig-205usd-2.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,body_wave,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 205USD,,,,,,,5,,,,,
AST-0080,IMG_3803.HEIC,raw-deep-wave-18in-bundle-40usd-3.jpg,assets/processed/raw-deep-wave-18in-bundle-40usd-3.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,deep_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 40USD,,,,,,,5,,,,,
AST-0081,IMG_3804.HEIC,IMG_3804.HEIC,assets/raw/IMG_3804.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0082,IMG_3805.MOV,raw-deep-wave-18in-bundles-120usd-6.mov,assets/processed/raw-deep-wave-18in-bundles-120usd-6.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,deep_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 120USD,,,,,,,5,,,,,
AST-0083,IMG_3916.HEIC,raw-deep-wave-18in-bundles-102usd.jpg,assets/processed/raw-deep-wave-18in-bundles-102usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,deep_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 102USD,,,,,,,5,,,,,
AST-0084,IMG_3917.MOV,raw-deep-wave-18in-bundles-120usd-7.mov,assets/processed/raw-deep-wave-18in-bundles-120usd-7.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,deep_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 120USD,,,,,,,5,,,,,
AST-0085,IMG_3918.HEIC,raw-deep-wave-18in-5x5-wig-top-186usd.jpg,assets/processed/raw-deep-wave-18in-5x5-wig-top-186usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,deep_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 186USD,,,,,,,5,,,,,
AST-0086,IMG_3919.HEIC,raw-deep-wave-18in-5x5-wig-top-186usd-2.jpg,assets/processed/raw-deep-wave-18in-5x5-wig-top-186usd-2.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,deep_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 186USD,,,,,,,5,,,,,
AST-0087,IMG_3920.MOV,raw-deep-wave-18in-5x5-wig-186usd-5.mov,assets/processed/raw-deep-wave-18in-5x5-wig-186usd-5.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,deep_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 186USD,,,,,,,5,,,,,
AST-0088,IMG_4015.MOV,raw-bone-straight-24in-silver-ombre-wig-262usd.mov,assets/processed/raw-bone-straight-24in-silver-ombre-wig-262usd.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 262USD,,,,,,,5,,,,,
AST-0089,IMG_4016.MOV,raw-bone-straight-24in-silver-ombre-wig-262usd-2.mov,assets/processed/raw-bone-straight-24in-silver-ombre-wig-262usd-2.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 262USD,,,,,,,5,,,,,
AST-0090,IMG_4017.MOV,raw-body-wave-20in-5x5-wig-205usd-3.mov,assets/processed/raw-body-wave-20in-5x5-wig-205usd-3.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,body_wave,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 205USD,,,,,,,5,,,,,
AST-0091,IMG_4028.HEIC,IMG_4028.HEIC,assets/raw/IMG_4028.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0092,IMG_4029.MOV,raw-bone-straight-24in-ombre-bundles-75usd-7.mov,assets/processed/raw-bone-straight-24in-ombre-bundles-75usd-7.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 75USD,,,,,,,5,,,,,
AST-0093,IMG_4031.HEIC,virgin-straight-20in-burgundy-bundles-51usd.jpg,assets/processed/virgin-straight-20in-burgundy-bundles-51usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 51USD,,,,,,,5,,,,,
AST-0094,IMG_4036.MOV,virgin-straight-20in-burgundy-bundles-51usd-3.mov,assets/processed/virgin-straight-20in-burgundy-bundles-51usd-3.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 51USD,,,,,,,5,,,,,
AST-0095,IMG_4038.HEIC,virgin-straight-22in-blonde-bundles-55usd-2.jpg,assets/processed/virgin-straight-22in-blonde-bundles-55usd-2.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,22,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 55USD,,,,,,,5,,,,,
AST-0096,IMG_4039.HEIC,virgin-straight-22in-blonde-bundles-55usd.jpg,assets/processed/virgin-straight-22in-blonde-bundles-55usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,virgin_straight,22,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 55USD,,,,,,,5,,,,,
AST-0097,IMG_4157.HEIC,IMG_4157.HEIC,assets/raw/IMG_4157.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0098,IMG_4160.MOV,raw-body-wave-18in-bundles-102usd-3.mov,assets/processed/raw-body-wave-18in-bundles-102usd-3.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,body_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 102USD,,,,,,,5,,,,,
AST-0099,IMG_4161.HEIC,raw-body-wave-18in-bundles-102usd.jpg,assets/processed/raw-body-wave-18in-bundles-102usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,body_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 102USD,,,,,,,5,,,,,
AST-0100,IMG_4164.HEIC,raw-body-wave-18in-bundles-closure-155usd-2.jpg,assets/processed/raw-body-wave-18in-bundles-closure-155usd-2.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,body_wave,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 155USD,,,,,,,5,,,,,
AST-0101,IMG_4174.HEIC,raw-bone-straight-18in-closure-30usd.jpg,assets/processed/raw-bone-straight-18in-closure-30usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,closure,bone_straight,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 30USD,,,,,,,5,,,,,
AST-0102,IMG_4176.HEIC,raw-bone-straight-18in-closure-30usd-2.jpg,assets/processed/raw-bone-straight-18in-closure-30usd-2.jpg,image,heic,Local,,2026-04-03,processed,unknown,closure,bone_straight,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 30USD,,,,,,,5,,,,,
